source_row,municipio,uf,regiao,populacao,faixa_populacional,objeto_contrato,nome_empresa,revisao_empresas,cnpj,vigencia_inicio,vigencia_inicio_raw,vigencia_fim,vigencia_fim_raw,valor_contrato,numero_contrato,fonte_texto,fonte_url,is_pncp_source
67,Belford Roxo,RJ,,483087,300 a 500,LIMPEZA URBANA E MANEJO DE RESÍDUOS,MUNICÍPIO DE B. ROXO,Municipal,39485438000142,2025-11-04,45965,2026-11-03,46329,52801942.27,02/SEMSEP/2025/2025,PNCP,,true
70,Ananindeua,PA,,478778,300 a 500,LIMPEZA URBANA E MANEJO DE RESÍDUOS,NORTE AMBIENTAL GESTÃO E SERVIÇOS LTDA,Norte Ambiental,10944348000190,2025-08-19,45888,2026-08-18,46252,18963766.20,082025/2025,PNCP,,true
71,Ananindeua,PA,,478778,300 a 500,LIMPEZA URBANA E MANEJO DE RESÍDUOS,Socorro Construcoes e Servicos Ltda,Socorro Construcoes e Servicos,22703141000103,2025-03-28,45744,2026-03-28,46109,12000000.00,052025/2025,PNCP,,true
72,Vila Velha,ES,,467722,300 a 500,LIMPEZA URBANA E MANEJO DE RESÍDUOS,LOCALIX SERVIÇOS AMBIENTAIS S.A,Localix Serviços Ambiental,04567650000174,2025-11-28,45989,2030-11-28,47815,547976428.20,299/2025,PNCP,,true
83,Montes Claros,MG,,414240,300 a 500,DESTINAÇÃO FINAL,VIASOLO ENGENHARIA AMBIENTAL S.A,Viasolo Engenharia Ambienl,00292081001708,2025-08-18,45887,2026-08-17,46251,14680000.00,2762501/2025,PNCP,,true
